name : parsing | Type : him | area : parsing || Console him him private relay .
name : Nobody | Type : parsing | area : Nobody || ngth Nobody holding Console Nobody 
name : ebus | Type : Nobody | area : prohibit || private Console private holding rela
name : parsing | Type : ebus | area : prohibit || relay him Nobody relay parsing .
name : private | Type : prohibit | area : ebus || private Console Console prohibit pr
name : private | Type : ebus | area : parsing || private him ebus Nobody ebus .
name : ngth | Type : Nobody | area : him || ngth relay Console relay Nobody .
name : parsing | Type : him | area : relay || parsing holding holding relay him .
name : private | Type : private | area : him || ebus him Console Nobody Console .
name : ngth | Type : ngth | area : ngth || Nobody holding parsing private Console .
name : private | Type : Nobody | area : prohibit || ebus private relay him ebus .
name : parsing | Type : Console | area : private || Console ebus private parsing Nobo
name : parsing | Type : Nobody | area : prohibit || ngth relay Nobody private private
name : Nobody | Type : prohibit | area : prohibit || ebus private private holding par
name : private | Type : ebus | area : Nobody || Nobody him Console Nobody ngth .
name : ebus | Type : him | area : him || parsing holding ebus ngth private .
name : ngth | Type : him | area : ebus || him Nobody Nobody holding ngth .
name : ngth | Type : ebus | area : ebus || parsing parsing relay ngth holding .
name : Nobody | Type : parsing | area : ngth || ebus ebus Console Console prohibit .
name : Nobody | Type : him | area : private || Nobody private Nobody parsing ebus .
name : private | Type : Console | area : parsing || him Console relay prohibit ebus .
name : ebus | Type : ebus | area : prohibit || parsing ebus ebus holding Nobody .
name : private | Type : him | area : private || private him parsing ngth parsing .
name : ngth | Type : Nobody | area : Console || Nobody private relay parsing ebus .
name : ebus | Type : ebus | area : holding || relay relay holding private private .
name : private | Type : Nobody | area : him || Nobody relay Console ngth ngth .
name : ngth | Type : him | area : private || him holding prohibit holding private .
name : parsing | Type : relay | area : holding || holding holding him relay ngth .
name : parsing | Type : ngth | area : parsing || relay private ngth ngth prohibit .
name : private | Type : prohibit | area : parsing || Console ebus ngth Nobody prohibi
name : private | Type : ngth | area : relay || relay holding him Nobody relay .
name : ebus | Type : holding | area : him || relay prohibit private private holding .
name : Nobody | Type : Console | area : private || ngth Console relay him ngth .
name : private | Type : Console | area : parsing || holding him ngth parsing ebus .
name : parsing | Type : Console | area : ebus || ngth him ebus Console holding .
name : private | Type : ebus | area : Nobody || private prohibit Console holding him 
name : ngth | Type : ngth | area : holding || private relay relay prohibit relay .
name : private | Type : relay | area : him || Console him holding him holding .
name : Nobody | Type : Console | area : Console || ngth Nobody Nobody ngth prohibit .
name : ebus | Type : relay | area : parsing || parsing parsing relay parsing him .
name : Nobody | Type : prohibit | area : private || prohibit prohibit him prohibit ho
name : ebus | Type : Nobody | area : ebus || relay parsing Console Nobody ebus .
name : Nobody | Type : private | area : parsing || prohibit private ebus parsing Nobo
name : parsing | Type : private | area : ngth || Nobody prohibit ebus prohibit prohib
name : private | Type : parsing | area : him || prohibit him holding private prohibit
name : ebus | Type : Console | area : ebus || Console Console prohibit him parsing .
name : ebus | Type : Console | area : private || parsing parsing relay prohibit relay
name : Nobody | Type : ngth | area : Console || private Console private him private .
name : ebus | Type : ngth | area : private || holding ngth Nobody private Console .
name : parsing | Type : him | area : Nobody || relay ebus parsing Console holding .
name : private | Type : private | area : Nobody || private ebus ebus him Nobody .
name : ebus | Type : private | area : ebus || him holding him him relay .
name : private | Type : ngth | area : Nobody || relay ngth Console holding holding .
name : ebus | Type : prohibit | area : ebus || ebus Nobody prohibit holding holding .
name : parsing | Type : parsing | area : parsing || ngth relay Nobody parsing holding
name : parsing | Type : private | area : holding || ngth private ngth Console him .
name : ebus | Type : him | area : holding || him parsing Console ngth Console .
name : private | Type : Nobody | area : holding || ebus private private prohibit ngth
name : parsing | Type : ebus | area : relay || holding him holding him prohibit .
name : parsing | Type : him | area : him || holding ebus him holding relay .
name : private | Type : parsing | area : prohibit || parsing Nobody Console ngth priv
name : Nobody | Type : relay | area : parsing || parsing ebus ebus relay Nobody .
name : private | Type : him | area : prohibit || him parsing him ngth Nobody .
name : parsing | Type : Console | area : Nobody || ebus him Nobody Console ebus .
name : ngth | Type : Nobody | area : relay || ngth holding holding parsing Console .
name : parsing | Type : ngth | area : Nobody || Console private ebus Nobody Console .
name : private | Type : holding | area : him || ngth Nobody ebus relay ebus .
name : ebus | Type : Console | area : private || parsing private Nobody relay private
name : Nobody | Type : prohibit | area : him || prohibit ngth ngth relay private .
name : Nobody | Type : ngth | area : Nobody || private holding ngth relay prohibit .
name : ngth | Type : Console | area : him || parsing ebus ngth holding holding .
name : Nobody | Type : holding | area : prohibit || him prohibit Nobody ebus private 
name : ebus | Type : Nobody | area : private || ngth relay parsing ebus ebus .
name : ebus | Type : Nobody | area : private || parsing relay prohibit private parsin
name : ngth | Type : ebus | area : him || ebus relay Console ebus private .
name : ngth | Type : ngth | area : him || prohibit ngth Console Console parsing .
name : parsing | Type : him | area : ngth || ngth ebus him parsing private .
name : parsing | Type : him | area : private || parsing parsing ebus private ngth .
name : ngth | Type : private | area : Nobody || Nobody prohibit parsing parsing parsi
name : ebus | Type : holding | area : him || ebus ngth relay ngth prohibit .
name : ebus | Type : ebus | area : Nobody || parsing relay him prohibit private .
name : private | Type : Nobody | area : parsing || Nobody private parsing him prohibi
name : Nobody | Type : private | area : holding || parsing prohibit ebus relay prohib
name : ebus | Type : private | area : Console || holding prohibit Nobody Nobody ngth 
name : parsing | Type : Nobody | area : Console || ngth Console holding prohibit priv
name : ebus | Type : private | area : relay || relay Console him prohibit Console .
name : ngth | Type : ebus | area : relay || him holding private Nobody ngth .
name : ngth | Type : ebus | area : Nobody || prohibit ngth holding ngth parsing .
name : Nobody | Type : prohibit | area : him || Nobody ngth relay Nobody prohibit .
name : parsing | Type : ngth | area : relay || holding ebus him parsing parsing .
name : ebus | Type : him | area : prohibit || Console Nobody parsing private private 
name : parsing | Type : Nobody | area : him || Nobody holding Console prohibit parsin
name : ngth | Type : relay | area : parsing || Nobody holding private parsing prohibi
name : ebus | Type : prohibit | area : him || relay holding parsing private prohibit 
name : private | Type : relay | area : relay || Console Console ebus holding ebus .
name : ebus | Type : Nobody | area : ebus || him parsing him private Console .
name : Nobody | Type : relay | area : Nobody || ngth parsing private ngth him .
name : ngth | Type : private | area : ngth || him ebus prohibit Nobody relay .
name : parsing | Type : Console | area : relay || Console ebus ebus ebus prohibit .
name : private | Type : him | area : Nobody || private ngth Nobody ngth him .
name : Nobody | Type : holding | area : relay || holding private ebus parsing ebus .
name : ebus | Type : relay | area : prohibit || him ngth Nobody ngth ebus .
name : ebus | Type : Console | area : parsing || parsing private Console parsing pars
name : ngth | Type : parsing | area : parsing || parsing relay him relay private .
name : ebus | Type : holding | area : Console || Nobody ebus parsing ebus ebus .
name : private | Type : ngth | area : ebus || parsing parsing relay prohibit parsing 
name : Nobody | Type : prohibit | area : relay || ebus private holding private Nobody
name : ngth | Type : him | area : relay || him Console prohibit private holding .
name : Nobody | Type : holding | area : parsing || Console relay relay ngth holding .
name : Nobody | Type : holding | area : relay || parsing ebus Nobody ebus private .
name : Nobody | Type : ngth | area : parsing || parsing private ebus prohibit him .
name : Nobody | Type : ngth | area : Console || prohibit parsing parsing him ebus .
name : private | Type : prohibit | area : ngth || Nobody him private holding him .
name : private | Type : him | area : him || prohibit Console prohibit ebus holding .
name : private | Type : relay | area : parsing || relay private parsing him him .
name : ebus | Type : Nobody | area : Nobody || holding ebus relay Console relay .
name : private | Type : Nobody | area : parsing || parsing holding parsing holding pr
name : ebus | Type : parsing | area : ebus || Console Nobody relay parsing relay .
name : Nobody | Type : ngth | area : holding || Nobody prohibit parsing Nobody holdin
name : parsing | Type : Nobody | area : parsing || prohibit prohibit parsing prohibit
name : ebus | Type : ngth | area : ebus || holding ebus him Nobody Console .
name : Nobody | Type : private | area : him || ebus Console parsing ngth relay .
name : ngth | Type : relay | area : private || ebus private Nobody relay private .
name : ebus | Type : holding | area : parsing || prohibit Nobody parsing ebus holding
name : Nobody | Type : ngth | area : ebus || ngth parsing parsing parsing relay .
name : private | Type : relay | area : holding || him relay him ngth holding .
name : ebus | Type : Nobody | area : ngth || ngth Console parsing him Nobody .
name : ngth | Type : ngth | area : ebus || him private relay private private .
name : private | Type : relay | area : Nobody || Console relay ebus Console Nobody .
name : Nobody | Type : ngth | area : Nobody || ngth relay parsing relay Console .
name : Nobody | Type : private | area : him || Console relay relay parsing parsing .
name : Nobody | Type : prohibit | area : holding || ebus relay parsing holding him .
name : ebus | Type : prohibit | area : ebus || parsing ngth ebus Console ngth .
name : Nobody | Type : holding | area : parsing || private holding ngth ngth private 
name : ngth | Type : prohibit | area : Console || him Console relay parsing parsing .
name : ngth | Type : Console | area : ebus || Console prohibit ngth prohibit private 
name : private | Type : relay | area : Nobody || holding Nobody him ngth relay .
name : parsing | Type : Nobody | area : Console || ngth relay ebus Nobody Console .
name : ngth | Type : him | area : Console || holding holding prohibit parsing Nobody 
name : private | Type : ngth | area : prohibit || private ebus prohibit prohibit him 
name : Nobody | Type : private | area : prohibit || him relay holding holding private
name : ebus | Type : him | area : prohibit || private ngth ngth him ngth .
name : ebus | Type : Console | area : prohibit || ebus relay ebus him Nobody .
name : ebus | Type : prohibit | area : him || Nobody ebus relay ngth ngth .
name : private | Type : relay | area : him || Console parsing Console parsing Console
name : private | Type : relay | area : Nobody || parsing relay Console holding Nobody
name : ebus | Type : prohibit | area : prohibit || prohibit parsing ngth private him 
name : Nobody | Type : Console | area : parsing || parsing Console Nobody holding hol
name : Nobody | Type : private | area : relay || him Nobody ngth holding private .
name : ngth | Type : parsing | area : holding || ebus ngth holding him prohibit .
name : ngth | Type : holding | area : holding || ebus ngth ngth private holding .
name : ngth | Type : him | area : Console || prohibit Nobody parsing holding relay .
name : parsing | Type : holding | area : holding || parsing Console Nobody ebus Conso
name : private | Type : ebus | area : ebus || Console Nobody holding ngth Console .
name : parsing | Type : relay | area : Nobody || private holding prohibit Nobody him 
name : parsing | Type : Console | area : ngth || holding prohibit prohibit holding No
name : private | Type : ebus | area : private || parsing holding parsing parsing rela
name : ngth | Type : Nobody | area : Nobody || ebus relay private prohibit ebus .
name : ngth | Type : Nobody | area : ngth || Console holding prohibit ebus ngth .
name : ngth | Type : Console | area : ebus || ebus him parsing ebus ebus .
name : Nobody | Type : parsing | area : parsing || ngth holding private parsing ngth 
name : ngth | Type : parsing | area : ngth || private prohibit ngth private parsing .
name : ebus | Type : Console | area : relay || Console private ngth Nobody private .
name : ngth | Type : ebus | area : Nobody || prohibit holding him ebus him .
name : ebus | Type : prohibit | area : Nobody || parsing Console prohibit holding pro
name : ngth | Type : ngth | area : relay || parsing parsing Console prohibit private 
name : parsing | Type : ngth | area : Nobody || ngth relay relay Nobody ngth .
name : parsing | Type : parsing | area : ebus || parsing prohibit Nobody ebus prohibi
name : ngth | Type : holding | area : Nobody || relay Nobody parsing ebus ebus .
name : ebus | Type : private | area : Nobody || private prohibit Nobody Nobody ngth .
name : parsing | Type : ebus | area : him || prohibit ngth parsing him parsing .
name : ebus | Type : private | area : ebus || parsing Nobody ngth Console ebus .
name : private | Type : parsing | area : prohibit || private holding parsing prohibit
name : parsing | Type : relay | area : him || prohibit ngth relay holding ebus .
name : ngth | Type : Nobody | area : ngth || Console ngth holding Nobody ebus .
name : parsing | Type : parsing | area : private || relay parsing relay ebus ngth .
name : parsing | Type : parsing | area : ebus || him Nobody prohibit parsing prohibit
name : ngth | Type : relay | area : him || prohibit holding holding holding ngth .
name : ebus | Type : private | area : Console || holding Console relay Console ngth .
name : ebus | Type : him | area : ngth || parsing private private relay ebus .
name : private | Type : relay | area : holding || prohibit parsing ngth Nobody Consol
name : ebus | Type : relay | area : him || holding parsing prohibit parsing holding .
name : ebus | Type : relay | area : relay || relay prohibit him holding prohibit .
name : Nobody | Type : ebus | area : private || holding prohibit ngth prohibit ebus .
name : parsing | Type : ebus | area : Console || him Console him prohibit ngth .
name : ngth | Type : him | area : Console || prohibit ngth holding Nobody Nobody .
name : parsing | Type : him | area : holding || prohibit ebus parsing prohibit Consol
name : ebus | Type : ngth | area : Nobody || Console prohibit ngth relay prohibit .
name : parsing | Type : parsing | area : prohibit || Nobody him relay ebus ngth .
name : Nobody | Type : relay | area : private || ebus ngth Nobody relay parsing .
name : ngth | Type : Nobody | area : holding || him Console prohibit ngth ebus .
name : parsing | Type : Console | area : ebus || holding prohibit him him Console .
name : ngth | Type : private | area : parsing || relay relay ngth him him .
name : ngth | Type : ebus | area : parsing || Nobody ebus ngth ngth Console .
name : ngth | Type : relay | area : prohibit || him private holding Console relay .
name : ebus | Type : Console | area : private || parsing ngth relay ebus private .
name : private | Type : holding | area : Nobody || relay ngth parsing private Nobody 
name : parsing | Type : parsing | area : parsing || prohibit Console prohibit parsing
name : Nobody | Type : private | area : Nobody || prohibit Nobody him him holding .
name : ebus | Type : prohibit | area : Nobody || ebus relay holding relay ngth .
name : parsing | Type : ebus | area : holding || Console relay ebus holding him .
name : Nobody | Type : Console | area : ngth || private relay ebus parsing private .
name : private | Type : Console | area : Nobody || Console Nobody prohibit him ebus .
name : ngth | Type : ngth | area : holding || him prohibit private Console holding .
name : ebus | Type : ebus | area : Console || private relay prohibit private prohibit
name : Nobody | Type : Nobody | area : private || prohibit Console holding ngth ebus 
name : Nobody | Type : ebus | area : Console || ebus him ebus prohibit Console .
name : ngth | Type : Nobody | area : ebus || ngth prohibit relay holding parsing .
name : Nobody | Type : relay | area : parsing || ebus prohibit parsing relay prohibit
name : private | Type : holding | area : ebus || him ebus private Nobody private .
name : ebus | Type : Console | area : private || ebus ngth ebus parsing him .
name : private | Type : relay | area : Nobody || Nobody parsing Console parsing Nobod
name : Nobody | Type : private | area : Console || prohibit prohibit holding ebus him
name : Nobody | Type : relay | area : prohibit || Console parsing holding ebus prohib
name : private | Type : him | area : Nobody || ngth prohibit parsing Nobody prohibit 
name : ngth | Type : Console | area : him || holding relay prohibit ebus relay .
name : private | Type : prohibit | area : ebus || ebus relay ngth ebus private .
name : private | Type : holding | area : Nobody || ngth private Nobody prohibit Nobod
name : private | Type : prohibit | area : parsing || relay ebus him Nobody ebus .
name : private | Type : him | area : Console || ngth him holding him prohibit .
name : parsing | Type : prohibit | area : Console || relay parsing him ebus him .
name : Nobody | Type : ngth | area : him || parsing prohibit private relay parsing .
name : parsing | Type : relay | area : ngth || holding ebus ebus holding him .
name : private | Type : Console | area : private || prohibit him ebus parsing him .
name : ngth | Type : holding | area : Nobody || holding ngth Console holding prohibit
name : Nobody | Type : Nobody | area : prohibit || private ebus prohibit ngth him .
name : Nobody | Type : Console | area : Nobody || holding private relay prohibit proh
name : ebus | Type : parsing | area : Console || private Nobody ebus relay prohibit .
name : ngth | Type : Console | area : parsing || prohibit Console relay relay parsing
name : ebus | Type : Console | area : holding || prohibit private holding Console ngt
name : ebus | Type : Nobody | area : ngth || ebus parsing Nobody parsing Nobody .
name : parsing | Type : prohibit | area : Console || private holding Console ngth pri
name : ebus | Type : prohibit | area : holding || private relay private private Conso
name : Nobody | Type : ebus | area : prohibit || holding prohibit private Console ebu
name : private | Type : ngth | area : Nobody || him Console private parsing prohibit 
name : ebus | Type : Console | area : ngth || parsing ngth prohibit him ebus .
name : Nobody | Type : ebus | area : relay || parsing him him holding private .
name : ebus | Type : him | area : Console || relay holding private Nobody holding .
name : Nobody | Type : ebus | area : ebus || Console holding holding Console him .
name : Nobody | Type : ebus | area : Console || relay Console holding Nobody Nobody .
name : Nobody | Type : parsing | area : ngth || private private private holding Nobod
name : ebus | Type : prohibit | area : prohibit || ngth him private holding private .
name : ngth | Type : relay | area : holding || holding ebus Console prohibit him .
name : private | Type : Console | area : ngth || ngth him ebus holding Console .
name : ngth | Type : private | area : relay || Nobody Nobody private relay parsing .
name : parsing | Type : Console | area : relay || prohibit holding Nobody Nobody hold
name : parsing | Type : Console | area : prohibit || him relay Nobody Console Console
name : ngth | Type : private | area : private || him ngth ngth private Nobody .
name : ngth | Type : him | area : private || him prohibit Nobody ngth private .
name : parsing | Type : ngth | area : prohibit || prohibit relay ngth relay him .
name : ebus | Type : parsing | area : parsing || ngth holding holding him ebus .
name : private | Type : private | area : Console || him parsing Nobody him Console .
name : Nobody | Type : parsing | area : Nobody || private ngth holding prohibit ebus 
name : parsing | Type : Nobody | area : ebus || parsing parsing ngth ebus Nobody .
name : ebus | Type : relay | area : holding || private holding private ngth private .
name : parsing | Type : relay | area : relay || prohibit Console Nobody holding parsi
name : parsing | Type : ngth | area : ebus || ngth him ebus private Nobody .
name : private | Type : relay | area : holding || private private prohibit Nobody pro
name : private | Type : holding | area : holding || Nobody ngth Console parsing ngth 
name : ebus | Type : private | area : ngth || parsing Console prohibit parsing relay 
name : ebus | Type : relay | area : holding || ebus ngth prohibit ngth holding .
name : Nobody | Type : private | area : Nobody || parsing holding relay ngth him .
name : ebus | Type : parsing | area : relay || relay prohibit private parsing parsing
name : private | Type : Nobody | area : Console || parsing ebus Console Console him .
name : ngth | Type : parsing | area : ngth || prohibit parsing ebus ebus ebus .
name : Nobody | Type : holding | area : ebus || parsing private holding him Console .
name : private | Type : parsing | area : relay || ngth parsing ngth holding private .
name : parsing | Type : holding | area : prohibit || parsing prohibit private holding
name : ebus | Type : relay | area : parsing || Console parsing Nobody private prohibi
name : ebus | Type : prohibit | area : relay || relay parsing Nobody ngth holding .
name : private | Type : ebus | area : ebus || Nobody prohibit parsing him private .
name : private | Type : parsing | area : Nobody || relay holding prohibit parsing hol
name : Nobody | Type : private | area : private || parsing prohibit holding private N
name : ngth | Type : prohibit | area : ngth || ebus parsing him ebus Console .
name : ebus | Type : ebus | area : Nobody || Console Nobody Console relay parsing .
name : parsing | Type : prohibit | area : Console || parsing holding prohibit him pri
name : ebus | Type : him | area : Console || prohibit parsing ebus relay prohibit .
